"ind" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "spp" "spp.1" "clade" "spp.2" "clade.1"
"60" "DC_AUHT-5765_georgia_BryanCo_Southward_sorted" -0.100662 0.132896 0.0141769 -0.00845054 -0.0736246 0.0883536 0.0271494 0.0535836 0.0193918 0.0261249 "East" "East" "Atlantic" "East" "Atlantic"
"61" "DC_AUHT-5793_georgia_TelfairCo_Snipesville_sorted" -0.0196632 -0.104658 0.108598 0.0512111 -0.0283337 0.00464408 0.0195704 0.106192 0.0615143 0.0243878 "West" "West" "Atlantic" "West" "Atlantic"
"62" "DC_AUHT-5803_georgia_CoffeeCo_Pridgen_sorted" -0.0297096 -0.0899593 0.0257452 0.0679511 -0.256428 -0.0180684 -0.0392318 -0.044825 -0.0491287 -0.140465 "West" "West" "Atlantic" "West" "Atlantic"
"63" "DC_AUHT-5808_georgia_TelfairCo_Jacksonville_sorted" -0.0233237 -0.0970933 0.0801634 0.0917655 -0.0129405 -0.00861766 0.0671556 0.0575727 0.00701933 -0.0451129 "West" "West" "Atlantic" "West" "Atlantic"
"64" "DC_AUHT-5830_georgia_TelfairCo_Snipesville_sorted" -0.0231309 -0.0916082 0.0793727 0.133781 0.0224994 0.00626531 0.0736777 0.0341259 -0.0126218 0.0827113 "West" "West" "Atlantic" "West" "Atlantic"
"65" "DC_AUHT-5871_georgia_EvansCo_Daisy_sorted" -0.103078 0.122986 -0.00544745 -0.0317638 0.00146153 0.0402471 0.0221145 -0.0245932 -0.0635856 -0.0533193 "East" "East" "Atlantic" "East" "Atlantic"
"66" "DC_B4_georgia_BryanCo_FtStewart_sorted" -0.106471 0.154344 -0.0325869 -0.00874874 -0.0383334 0.102133 -0.0380152 0.106629 0.0166967 0.00157499 "East" "East" "Atlantic" "East" "Atlantic"
"67" "DC_B8_georgia_BryanCo_FtStewart_sorted" -0.1037 0.149264 -0.029307 0.00634765 -0.0139096 0.0989818 -0.0213856 0.057707 0.0122479 0.0121738 "East" "East" "Atlantic" "East" "Atlantic"
"68" "DC_C2_georgia_TelfairCo_sorted" -0.0318735 -0.103227 0.0625379 0.0848488 -0.0679452 0.0123217 0.0437322 0.0267161 0.100172 0.0233444 "West" "West" "Atlantic" "West" "Atlantic"
"69" "DC_C6_georgia_TelfairCo_sorted" -0.0345657 -0.0773234 0.0706598 0.17645 0.0735948 0.0944402 -0.033376 -0.00396043 -0.0137905 0.0469571 "West" "West" "Atlantic" "West" "Atlantic"
"70" "DC_D1_georgia_Conecuh_sorted" -0.0395059 -0.0957587 0.151556 0.227028 0.254058 0.131493 -0.0160482 -0.0628288 -0.00958759 -0.0482325 "West" "West" "Atlantic" "West" "Atlantic"
"71" "DC_D2_georgia_Conecuh_sorted" -0.029134 -0.118294 0.119204 -0.146256 -0.0778571 -0.00354794 -0.00456021 0.0941262 -0.0896567 0.331146 "West" "West" "Atlantic" "West" "Atlantic"
"72" "DC_D3_georgia_Conecuh_sorted" -0.0373025 -0.111919 0.117879 0.165861 0.137461 0.0798258 -0.0243731 -0.0503286 -0.0217276 -0.0403801 "West" "West" "Atlantic" "West" "Atlantic"
"73" "DC_D4_georgia_Conecuh_sorted" -0.0411719 -0.0958662 0.120586 0.250215 0.231185 0.109377 -0.0224157 -0.0637497 -0.0470629 -0.0181225 "West" "West" "Atlantic" "West" "Atlantic"
"74" "DC_D5_georgia_Conecuh_sorted" -0.0282097 -0.101126 0.139783 0.245513 0.242255 0.116021 -0.0525873 -0.059521 -0.00209827 -0.0045049 "West" "West" "Atlantic" "West" "Atlantic"
"75" "DC_D9_georgia_Conecuh_sorted" -0.0374898 -0.102969 0.134548 0.241592 0.240483 0.118155 -0.0467227 -0.0478956 -0.0141754 -0.0307549 "West" "West" "Atlantic" "West" "Atlantic"
"76" "DC_E2_georgia_GenCoffeeStatePark_sorted" -0.0122427 -0.0589981 0.00479826 0.041492 -0.0472724 -0.113932 0.0845485 0.101666 0.102487 -0.10443 "West" "West" "Atlantic" "West" "Atlantic"
"77" "DC_F10_georgia_BryanCo_FtStewart_sorted" -0.101738 0.116308 -0.00482833 -0.00989848 0.0288408 0.00145288 -0.116829 -0.0202916 -0.0590583 -0.0696746 "East" "East" "Atlantic" "East" "Atlantic"
"78" "DC_F6_georgia_BryanCo_FtStewart_sorted" -0.105591 0.13366 -0.00133151 0.00503409 0.0445502 0.00881709 -0.13376 -0.0493504 -0.0538753 -0.0663352 "East" "East" "Atlantic" "East" "Atlantic"
"79" "DC_F7_georgia_BryanCo_FtStewart_sorted" -0.0936344 0.125696 -0.02401 0.0195211 0.0181345 0.0291955 -0.0770362 0.0382471 0.0082704 -0.106652 "East" "East" "Atlantic" "East" "Atlantic"
"80" "DC_F9_georgia_BryanCo_FtStewart_sorted" -0.104281 0.128535 -0.029779 0.014733 -0.00339206 0.0598933 -0.103694 -0.0041156 0.00569365 -0.0799971 "East" "East" "Atlantic" "East" "Atlantic"
"81" "DC_FEMALET_unknown_unknown_sorted" -0.105832 0.135955 -0.0213703 0.0115731 -0.0126714 0.136136 -0.00697225 0.12887 0.0681848 -0.000379152 "East" "East" "Atlantic" "East" "Atlantic"
"82" "DC_FEMALEV_unknown_unknown_sorted" 0.0150784 -0.0839382 -0.0950192 -0.0301465 0.0251697 0.0562707 0.313675 0.0149452 -0.0818764 -0.128288 "West" "West" "Atlantic" "West" "Atlantic"
"83" "DC_G4_georgia_EvansCo_Canoochee_sorted" -0.102368 0.130735 -0.0055835 0.0045677 -0.0305268 0.11927 -0.0165378 0.0999769 0.0106561 0.0661459 "East" "East" "Atlantic" "East" "Atlantic"
"84" "DC_G9_georgia_EvansCo_SandsSiteCanoochee_sorted" -0.0999635 0.127256 -0.0230303 -0.0101424 -0.0161646 0.120648 -0.0232947 0.116388 0.00496259 0.0683126 "East" "East" "Atlantic" "East" "Atlantic"
"85" "DC_H4_georgia_EvansCo_WarnellCanoochee_sorted" -0.102912 0.149869 -0.00137143 -0.01448 -0.0836882 0.134404 -0.0079088 0.0640909 0.03934 0.0294535 "East" "East" "Atlantic" "East" "Atlantic"
"86" "DC_H5_georgia_EvansCo_WarnellCanoochee_sorted" -0.101287 0.122347 -0.00233201 -0.0258152 -0.0715218 0.118367 -0.0274792 0.0401736 0.0144251 0.00587131 "East" "East" "Atlantic" "East" "Atlantic"
"87" "DC_I2_georgia_BroxtonRocksTNC_sorted" -0.033308 -0.0859562 -0.000738045 0.110969 -0.330147 0.00398057 -0.0522748 -0.0199302 -0.0740148 -0.286932 "West" "West" "Atlantic" "West" "Atlantic"
"88" "DC_K3_georgia_WheelerCo_LittleOcmulgee_sorted" -0.01831 -0.122326 0.116861 -0.298232 0.0567176 0.109363 -0.0494465 -0.0850629 -0.00369333 -0.156055 "West" "West" "Atlantic" "West" "Atlantic"
"89" "DC_K5_georgia_WheelerCo_LittleOcmulgee_sorted" -0.0325886 -0.108095 0.122644 -0.298659 0.0518571 0.120928 -0.122538 -0.0905235 0.0239738 -0.149953 "West" "West" "Atlantic" "West" "Atlantic"
"90" "DC_K6_georgia_WheelerCo_LittleOcmulgee_sorted" -0.0303761 -0.116816 0.131314 -0.312722 0.0528662 0.120551 -0.108316 -0.0932458 0.033527 -0.191524 "West" "West" "Atlantic" "West" "Atlantic"
"91" "DC_L2_georgia_AlapahaRiverRanch_sorted" -0.00147006 -0.0625211 -0.0383313 0.00665006 -0.0133197 0.0102333 0.10293 0.0216015 -0.0143998 -0.134293 "West" "West" "Atlantic" "West" "Atlantic"
"92" "DC_MB2723_076321591_Gerogia_OISPNorth_sorted" -0.0308534 -0.118254 -0.105389 0.0595606 -0.0270742 -0.0428251 -0.0817163 -0.0382725 0.0112029 0.0866078 "West" "West" "Atlantic" "West" "Atlantic"
"93" "DC_MB2724_605806003_Georgia_GaskinsProperty_sorted" 0.0117211 -0.12294 -0.224587 -0.0864043 0.0915674 0.101001 0.178724 0.103839 -0.100223 -0.040936 "West" "West" "Atlantic" "West" "Atlantic"
"94" "DC_MB2803_605804613_MoodyForest_sorted" -0.0498122 -0.052682 -0.101362 -0.0233892 0.0781184 -0.103763 -0.085869 0.0628857 0.00148692 0.11394 "West" "West" "Atlantic" "West" "Atlantic"
"95" "DC_MB2805_604806826_FortStewart_sorted" -0.0867985 0.0667088 -0.14065 -0.0638938 0.0224427 -0.0397785 -0.0523356 -0.0616147 -0.0353438 0.0992806 "East" "East" "Atlantic" "East" "Atlantic"
"96" "DC_MB2810_605359320_CanoocheeSandhillsWMA_sorted" -0.0926621 0.024286 -0.139949 0.00971083 0.0914204 -0.103734 -0.0409121 -0.0718313 0.0100427 0.0783987 "East" "East" "Atlantic" "East" "Atlantic"
"97" "DC_MB2813_605056639_OISPNorth_sorted" -0.0322271 -0.137649 -0.0594652 0.0451962 -0.0593383 0.00759642 -0.0760512 -0.0430201 0.102917 0.0886844 "West" "West" "Atlantic" "West" "Atlantic"
"98" "DC_MB2815_603639016_GaskinsProperty_sorted" 0.0118362 -0.125003 -0.235228 -0.037257 0.0640709 0.0879206 0.276019 0.109557 -0.112524 -0.112303 "West" "West" "Atlantic" "West" "Atlantic"
"99" "DC_MB2819_606112553_GaskinsProperty_sorted" -0.00293811 -0.0960091 -0.18313 -0.0637966 -0.0190688 0.0706054 0.107961 0.0565447 -0.0356524 -0.0199968 "West" "West" "Atlantic" "West" "Atlantic"
"100" "DC_MB2828_605799017_GaskinsProperty_sorted" 0.00182053 -0.104348 -0.24879 -0.0381689 0.107179 0.0825381 0.245075 0.106315 -0.101614 -0.0559345 "West" "West" "Atlantic" "West" "Atlantic"
"101" "DC_MB2836_076308773_OISPNorth_sorted" -0.029067 -0.119769 -0.097631 0.0622444 -0.083898 -0.0535727 -0.11092 -0.0699403 0.0918341 0.0903866 "West" "West" "Atlantic" "West" "Atlantic"
"102" "DC_MB2838_605791060_BroxtonRocksEast_sorted" -0.0366201 -0.108595 -0.0944391 0.0299657 -0.166273 -0.0700762 -0.0866565 -0.0470511 0.0543951 -0.0194129 "West" "West" "Atlantic" "West" "Atlantic"
"103" "DC_MB2844_605803125_GaskinsProperty_sorted" 0.000879473 -0.109927 -0.238771 -0.0657237 0.118419 0.0736717 0.201445 0.155427 -0.125824 -0.0780294 "West" "West" "Atlantic" "West" "Atlantic"
"104" "DC_MB2846_603633631_Langdale_sorted" 0.0413011 -0.111254 -0.188554 -0.00126905 0.00374133 0.0844712 -0.103704 -0.0836036 0.131442 0.128967 "West" "West" "Atlantic" "West" "Atlantic"
"105" "DC_MB2847_845338285_FortStewart_sorted" -0.103756 0.086023 -0.137965 0.0404821 0.0420991 0.036777 -0.0728607 0.0103125 0.0758357 0.0395082 "East" "East" "Atlantic" "East" "Atlantic"
